month,julian,reach,catch0,catch1,catch01,discharge,habitat,effort,eC0,eC1,eC01,f0,f1,theta,p0,N0_adjusted,N1_adjusted,N_adjusted,N0,N1,N
5,31,2,0.0,0.0,0.0,0.977,1,79.0,379.68124156492445,9.525055636544657,389.2062972014691,0.04939621616973862,0.08004444318924428,0.0023391812865497076,0.417963368080902,7861824.727065844,99039.43618248738,7960864.163248332,5604216.774922358,160361.35811372538,5764578.133036084
5,31,2,0.0,2.0,2.0,0.977,2,526.5,328.65742368495853,4.981333522110705,333.63875720706926,0.04275805957444316,0.0418609699860937,0.0023391812865497076,0.417963368080902,7861824.727065844,99039.43618248738,7960864.163248332,5604216.774922358,160361.35811372538,5764578.133036084
5,32,3,0.0,67.0,67.0,0.19,1,706.75,689.9857347070288,271.38131850847367,961.3670532155024,0.20165345703222165,0.14049969892880199,0.002171552660152009,0.417963368080902,3769865.488283975,1731688.9915453955,5501554.479829371,7473756.034394614,9016809.605189834,16490565.639584448
5,32,3,0.0,24.0,24.0,0.19,2,2991.0,561.7531413200959,329.0405969456789,890.7937382657748,0.16417652894520565,0.1703510951317663,0.002171552660152009,0.417963368080902,3769865.488283975,1731688.9915453955,5501554.479829371,7473756.034394614,9016809.605189834,16490565.639584448
5,33,3,0.0,149.0,149.0,0.264,1,450.5,426.8765199166872,195.61163951362184,622.488159430309,0.1260072573440694,0.10263726087084751,0.002171552660152009,0.417963368080902,3732485.444670869,1708657.3590616095,5441142.803732479,7473756.034394614,9016809.605189834,16490565.639584448
5,33,3,0.0,66.0,66.0,0.264,2,941.75,152.265532060992,87.55271247740974,239.81824453840176,0.04494639828582204,0.045938833766936644,0.002171552660152009,0.417963368080902,3732485.444670869,1708657.3590616095,5441142.803732479,7473756.034394614,9016809.605189834,16490565.639584448
5,35,3,0.0,64.0,64.0,0.171,1,703.0,671.5778741460379,249.23025213291237,920.8081262789502,0.20222979161292523,0.13432008144561178,0.002171552660152009,0.417963368080902,3658833.6061098715,1663508.9888439267,5322342.594953798,7473756.034394614,9016809.605189834,16490565.639584448
5,35,3,0.0,98.0,98.0,0.171,2,519.75,99.79923798588102,58.07817916106449,157.8774171469455,0.03005217991536257,0.03130063741606606,0.002171552660152009,0.417963368080902,3658833.6061098715,1663508.9888439267,5322342.594953798,7473756.034394614,9016809.605189834,16490565.639584448
5,36,3,0.0,2.0,2.0,0.623,1,618.25,564.0169708098366,398.93000637882125,962.9469771886579,0.17154128475443978,0.21789727964108663,0.002171552660152009,0.417963368080902,3622554.4974269406,1641384.1570458473,5263938.654472788,7473756.034394614,9016809.605189834,16490565.639584448
5,36,3,0.0,653.0,653.0,0.623,2,968.75,122.36364546328066,66.88974279503053,189.2533882583112,0.037215931499134006,0.03653546426158958,0.002171552660152009,0.417963368080902,3622554.4974269406,1641384.1570458473,5263938.654472788,7473756.034394614,9016809.605189834,16490565.639584448
